token_id,folio,section,scribe,language_dialect,line_number,line_position,eva_token
38,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoarn
39,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ool89
40,f2r,Herbal,Scribe 1,Voynich A,1,End,calin
41,f2r,Herbal,Scribe 1,Voynich A,1,Start,qokaiin
42,f2r,Herbal,Scribe 1,Voynich A,1,Middle,piinn
43,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dal
44,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoar89
45,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yiinr
46,f2r,Herbal,Scribe 1,Voynich A,1,Middle,sokin
47,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shaiin
48,f2r,Herbal,Scribe 1,Voynich A,1,End,aiinin
49,f2r,Herbal,Scribe 1,Voynich A,1,Start,pam9
50,f2r,Herbal,Scribe 1,Voynich A,1,Middle,cok
51,f2r,Herbal,Scribe 1,Voynich A,1,Middle,poks
52,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qotain
53,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yok9
54,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oiindy
55,f2r,Herbal,Scribe 1,Voynich A,1,Middle,alm
56,f2r,Herbal,Scribe 1,Voynich A,1,End,qokain
57,f2r,Herbal,Scribe 1,Voynich A,1,Start,tokon
58,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shedy
59,f2r,Herbal,Scribe 1,Voynich A,1,Middle,aiinin
60,f2r,Herbal,Scribe 1,Voynich A,1,Middle,cthy
61,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yokm
62,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dchor
63,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
64,f2r,Herbal,Scribe 1,Voynich A,1,End,cot9dy
65,f2r,Herbal,Scribe 1,Voynich A,1,Start,qocthy
66,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yiinr
67,f2r,Herbal,Scribe 1,Voynich A,1,Middle,fol
68,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoar89
69,f2r,Herbal,Scribe 1,Voynich A,1,Middle,tam
70,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ams
71,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shorr
72,f2r,Herbal,Scribe 1,Voynich A,1,End,alm
73,f2r,Herbal,Scribe 1,Voynich A,1,Start,dal
74,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oes
75,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dotr
76,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qookn
77,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoal
78,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ookin
79,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qokeedy
80,f2r,Herbal,Scribe 1,Voynich A,1,End,taiiny
81,f2r,Herbal,Scribe 1,Voynich A,1,Start,tot89
82,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oaly
83,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chey
84,f2r,Herbal,Scribe 1,Voynich A,1,Middle,talm
85,f2r,Herbal,Scribe 1,Voynich A,1,Middle,toky
86,f2r,Herbal,Scribe 1,Voynich A,1,Middle,chiinr
87,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kamy
88,f2r,Herbal,Scribe 1,Voynich A,1,End,ein
89,f2r,Herbal,Scribe 1,Voynich A,1,Start,qoaron
90,f2r,Herbal,Scribe 1,Voynich A,1,Middle,olkeedy
91,f2r,Herbal,Scribe 1,Voynich A,1,Middle,okr
92,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoiin9
93,f2r,Herbal,Scribe 1,Voynich A,1,Middle,poks
94,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ors
95,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qokeedy
96,f2r,Herbal,Scribe 1,Voynich A,1,End,amsy
97,f2r,Herbal,Scribe 1,Voynich A,1,Start,schein
98,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oor
99,f2r,Herbal,Scribe 1,Voynich A,1,Middle,faiin
100,f2r,Herbal,Scribe 1,Voynich A,1,Middle,taiin
101,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kentun
102,f2r,Herbal,Scribe 1,Voynich A,1,Middle,eed9
103,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ookin
104,f2r,Herbal,Scribe 1,Voynich A,1,End,yaron
105,f2r,Herbal,Scribe 1,Voynich A,1,Start,talm
106,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shors
107,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shardy
108,f2r,Herbal,Scribe 1,Voynich A,1,Middle,fiinr
109,f2r,Herbal,Scribe 1,Voynich A,1,Middle,e89
110,f2r,Herbal,Scribe 1,Voynich A,1,Middle,piinn
111,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shoron
112,f2r,Herbal,Scribe 1,Voynich A,1,End,aln
113,f2r,Herbal,Scribe 1,Voynich A,1,Start,ddoks
114,f2r,Herbal,Scribe 1,Voynich A,1,Middle,ams
115,f2r,Herbal,Scribe 1,Voynich A,1,Middle,pem
116,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yal9
117,f2r,Herbal,Scribe 1,Voynich A,1,Middle,olkeedy
118,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oiindy
119,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yaron
120,f2r,Herbal,Scribe 1,Voynich A,1,End,amsy
121,f2r,Herbal,Scribe 1,Voynich A,1,Start,qotain
122,f2r,Herbal,Scribe 1,Voynich A,1,Middle,alin
123,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qol
124,f2r,Herbal,Scribe 1,Voynich A,1,Middle,okr
125,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yamr
126,f2r,Herbal,Scribe 1,Voynich A,1,Middle,al
127,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shaiin9
128,f2r,Herbal,Scribe 1,Voynich A,1,End,ok89
129,f2r,Herbal,Scribe 1,Voynich A,1,Start,talm
130,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoaron
131,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoiin9
132,f2r,Herbal,Scribe 1,Voynich A,1,Middle,tokn
133,f2r,Herbal,Scribe 1,Voynich A,1,Middle,calin
134,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kolin
135,f2r,Herbal,Scribe 1,Voynich A,1,Middle,sharm
136,f2r,Herbal,Scribe 1,Voynich A,1,End,shody
137,f2r,Herbal,Scribe 1,Voynich A,1,Start,oye
138,f2r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
139,f2r,Herbal,Scribe 1,Voynich A,1,Middle,sarr
140,f2r,Herbal,Scribe 1,Voynich A,1,Middle,piinn
141,f2r,Herbal,Scribe 1,Voynich A,1,Middle,dchor
142,f2r,Herbal,Scribe 1,Voynich A,1,Middle,shokon
143,f2r,Herbal,Scribe 1,Voynich A,1,Middle,kotdy
144,f2r,Herbal,Scribe 1,Voynich A,1,End,sam9dy
145,f2r,Herbal,Scribe 1,Voynich A,1,Start,syeed89
146,f2r,Herbal,Scribe 1,Voynich A,1,Middle,cot9
147,f2r,Herbal,Scribe 1,Voynich A,1,Middle,iin
148,f2r,Herbal,Scribe 1,Voynich A,1,Middle,koks
149,f2r,Herbal,Scribe 1,Voynich A,1,Middle,al
150,f2r,Herbal,Scribe 1,Voynich A,1,Middle,calm
151,f2r,Herbal,Scribe 1,Voynich A,1,Middle,cot9
152,f2r,Herbal,Scribe 1,Voynich A,1,End,poks89
153,f2r,Herbal,Scribe 1,Voynich A,1,Start,ot89
154,f2r,Herbal,Scribe 1,Voynich A,1,Middle,oam
155,f2r,Herbal,Scribe 1,Voynich A,1,Middle,yok9
156,f2r,Herbal,Scribe 1,Voynich A,1,Middle,peedr
157,f2r,Herbal,Scribe 1,Voynich A,1,Middle,tokon
158,f2r,Herbal,Scribe 1,Voynich A,1,Middle,am89
159,f2r,Herbal,Scribe 1,Voynich A,1,Middle,alm
160,f17r,Herbal,Scribe 1,Voynich A,1,Start,ein
161,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokdy
162,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
163,f17r,Herbal,Scribe 1,Voynich A,1,Middle,carn
164,f17r,Herbal,Scribe 1,Voynich A,1,Middle,arr
165,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qokain
166,f17r,Herbal,Scribe 1,Voynich A,1,Middle,talm
167,f17r,Herbal,Scribe 1,Voynich A,1,End,qoiin9y
168,f17r,Herbal,Scribe 1,Voynich A,1,Start,qoshar9
169,f17r,Herbal,Scribe 1,Voynich A,1,Middle,dor9
170,f17r,Herbal,Scribe 1,Voynich A,1,Middle,es
171,f17r,Herbal,Scribe 1,Voynich A,1,Middle,dar
172,f17r,Herbal,Scribe 1,Voynich A,1,Middle,kiin
173,f17r,Herbal,Scribe 1,Voynich A,1,Middle,okr
174,f17r,Herbal,Scribe 1,Voynich A,1,Middle,cot9
175,f17r,Herbal,Scribe 1,Voynich A,1,End,farm
176,f17r,Herbal,Scribe 1,Voynich A,1,Start,sen
177,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yamr
178,f17r,Herbal,Scribe 1,Voynich A,1,Middle,ors
179,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
180,f17r,Herbal,Scribe 1,Voynich A,1,Middle,lchedy
181,f17r,Herbal,Scribe 1,Voynich A,1,Middle,okr
182,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chiinr
183,f17r,Herbal,Scribe 1,Voynich A,1,End,cthy
184,f17r,Herbal,Scribe 1,Voynich A,1,Start,qol
185,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shardy
186,f17r,Herbal,Scribe 1,Voynich A,1,Middle,eedn
187,f17r,Herbal,Scribe 1,Voynich A,1,Middle,taiin9
188,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yaiinon
189,f17r,Herbal,Scribe 1,Voynich A,1,Middle,al
190,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chors
191,f17r,Herbal,Scribe 1,Voynich A,1,End,ot
192,f17r,Herbal,Scribe 1,Voynich A,1,Start,dem
193,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoaiin89
194,f17r,Herbal,Scribe 1,Voynich A,1,Middle,alin
195,f17r,Herbal,Scribe 1,Voynich A,1,Middle,kotin
196,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoaiin89
197,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yolm
198,f17r,Herbal,Scribe 1,Voynich A,1,Middle,dotr
199,f17r,Herbal,Scribe 1,Voynich A,1,End,iinin
200,f17r,Herbal,Scribe 1,Voynich A,1,Start,damin
201,f17r,Herbal,Scribe 1,Voynich A,1,Middle,kam9
202,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tors
203,f17r,Herbal,Scribe 1,Voynich A,1,Middle,dedy
204,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoaiin89
205,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qotain
206,f17r,Herbal,Scribe 1,Voynich A,1,Middle,sarr
207,f17r,Herbal,Scribe 1,Voynich A,1,End,otedy
208,f17r,Herbal,Scribe 1,Voynich A,1,Start,fokr
209,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokdy
210,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yok
211,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qol
212,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
213,f17r,Herbal,Scribe 1,Voynich A,1,Middle,caiinon
214,f17r,Herbal,Scribe 1,Voynich A,1,Middle,dedy
215,f17r,Herbal,Scribe 1,Voynich A,1,End,yaron
216,f17r,Herbal,Scribe 1,Voynich A,1,Start,faiin
217,f17r,Herbal,Scribe 1,Voynich A,1,Middle,ams
218,f17r,Herbal,Scribe 1,Voynich A,1,Middle,samm
219,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qol
220,f17r,Herbal,Scribe 1,Voynich A,1,Middle,cthy
221,f17r,Herbal,Scribe 1,Voynich A,1,Middle,corn
222,f17r,Herbal,Scribe 1,Voynich A,1,Middle,em
223,f17r,Herbal,Scribe 1,Voynich A,1,End,yot
224,f17r,Herbal,Scribe 1,Voynich A,1,Start,al
225,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shokon
226,f17r,Herbal,Scribe 1,Voynich A,1,Middle,al
227,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoarn
228,f17r,Herbal,Scribe 1,Voynich A,1,Middle,ot89
229,f17r,Herbal,Scribe 1,Voynich A,1,Middle,alin
230,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shoron
231,f17r,Herbal,Scribe 1,Voynich A,1,End,tot89
232,f17r,Herbal,Scribe 1,Voynich A,1,Start,qoe89
233,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yokdy
234,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shedy
235,f17r,Herbal,Scribe 1,Voynich A,1,Middle,alin
236,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chars
237,f17r,Herbal,Scribe 1,Voynich A,1,Middle,piinn
238,f17r,Herbal,Scribe 1,Voynich A,1,Middle,darn
239,f17r,Herbal,Scribe 1,Voynich A,1,End,qoamy
240,f17r,Herbal,Scribe 1,Voynich A,1,Start,dyot
241,f17r,Herbal,Scribe 1,Voynich A,1,Middle,pol
242,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
243,f17r,Herbal,Scribe 1,Voynich A,1,Middle,oal
244,f17r,Herbal,Scribe 1,Voynich A,1,Middle,kam9
245,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yaiinon
246,f17r,Herbal,Scribe 1,Voynich A,1,Middle,seed
247,f17r,Herbal,Scribe 1,Voynich A,1,End,piinn
248,f17r,Herbal,Scribe 1,Voynich A,1,Start,aln
249,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qokain
250,f17r,Herbal,Scribe 1,Voynich A,1,Middle,oiinon
251,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shokon
252,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chal9
253,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olr
254,f17r,Herbal,Scribe 1,Voynich A,1,Middle,aiins
255,f17r,Herbal,Scribe 1,Voynich A,1,End,chamon
256,f17r,Herbal,Scribe 1,Voynich A,1,Start,dcok
257,f17r,Herbal,Scribe 1,Voynich A,1,Middle,par9
258,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olon
259,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qokal
260,f17r,Herbal,Scribe 1,Voynich A,1,Middle,cthy
261,f17r,Herbal,Scribe 1,Voynich A,1,Middle,shamn
262,f17r,Herbal,Scribe 1,Voynich A,1,Middle,am89
263,f17r,Herbal,Scribe 1,Voynich A,1,End,otedy
264,f17r,Herbal,Scribe 1,Voynich A,1,Start,dchiinr
265,f17r,Herbal,Scribe 1,Voynich A,1,Middle,daron
266,f17r,Herbal,Scribe 1,Voynich A,1,Middle,am89
267,f17r,Herbal,Scribe 1,Voynich A,1,Middle,pey
268,f17r,Herbal,Scribe 1,Voynich A,1,Middle,kok9
269,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olkeedy
270,f17r,Herbal,Scribe 1,Voynich A,1,Middle,pok9
271,f17r,Herbal,Scribe 1,Voynich A,1,End,iin89
272,f17r,Herbal,Scribe 1,Voynich A,1,Start,tam
273,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chors
274,f17r,Herbal,Scribe 1,Voynich A,1,Middle,am89
275,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokon
276,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokdy
277,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qotain
278,f17r,Herbal,Scribe 1,Voynich A,1,Middle,sals
279,f17r,Herbal,Scribe 1,Voynich A,1,End,qoiin9
280,f17r,Herbal,Scribe 1,Voynich A,1,Start,ams
281,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qokeedy
282,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chars
283,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoiin9
284,f17r,Herbal,Scribe 1,Voynich A,1,Middle,teedn
285,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokn
286,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qol
287,f17r,Herbal,Scribe 1,Voynich A,1,End,cot989
288,f17r,Herbal,Scribe 1,Voynich A,1,Start,kiiny
289,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olr
290,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokin
291,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoaron
292,f17r,Herbal,Scribe 1,Voynich A,1,Middle,calm
293,f17r,Herbal,Scribe 1,Voynich A,1,Middle,okr
294,f17r,Herbal,Scribe 1,Voynich A,1,Middle,chor
295,f17r,Herbal,Scribe 1,Voynich A,1,End,chars
296,f17r,Herbal,Scribe 1,Voynich A,1,Start,farm
297,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olr
298,f17r,Herbal,Scribe 1,Voynich A,1,Middle,olr
299,f17r,Herbal,Scribe 1,Voynich A,1,Middle,tokn
300,f17r,Herbal,Scribe 1,Voynich A,1,Middle,piinn
301,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yolm
302,f17r,Herbal,Scribe 1,Voynich A,1,Middle,ein
303,f17r,Herbal,Scribe 1,Voynich A,1,End,ol89
304,f17r,Herbal,Scribe 1,Voynich A,1,Start,olon
305,f17r,Herbal,Scribe 1,Voynich A,1,Middle,cthy
306,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoarn
307,f17r,Herbal,Scribe 1,Voynich A,1,Middle,em
308,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yal9
309,f17r,Herbal,Scribe 1,Voynich A,1,Middle,oiinon
310,f17r,Herbal,Scribe 1,Voynich A,1,Middle,orm
311,f17r,Herbal,Scribe 1,Voynich A,1,End,chein
312,f17r,Herbal,Scribe 1,Voynich A,1,Start,qocaiins
313,f17r,Herbal,Scribe 1,Voynich A,1,Middle,darr
314,f17r,Herbal,Scribe 1,Voynich A,1,Middle,e89
315,f17r,Herbal,Scribe 1,Voynich A,1,Middle,yiinr
316,f17r,Herbal,Scribe 1,Voynich A,1,Middle,amn
317,f17r,Herbal,Scribe 1,Voynich A,1,Middle,qoiin9
318,f17r,Herbal,Scribe 1,Voynich A,1,Middle,torr
319,f17r,Herbal,Scribe 1,Voynich A,1,End,oiinon
320,f33v,Herbal,Scribe 1,Voynich A,1,Start,oem
321,f33v,Herbal,Scribe 1,Voynich A,1,Middle,yolm
322,f33v,Herbal,Scribe 1,Voynich A,1,Middle,cheedr
323,f33v,Herbal,Scribe 1,Voynich A,1,Middle,okr
324,f33v,Herbal,Scribe 1,Voynich A,1,Middle,koron
325,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tiin
326,f33v,Herbal,Scribe 1,Voynich A,1,Middle,piin
327,f33v,Herbal,Scribe 1,Voynich A,1,End,orrdy
328,f33v,Herbal,Scribe 1,Voynich A,1,Start,e89
329,f33v,Herbal,Scribe 1,Voynich A,1,Middle,aiinin
330,f33v,Herbal,Scribe 1,Voynich A,1,Middle,alm
331,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoaron
332,f33v,Herbal,Scribe 1,Voynich A,1,Middle,olr
333,f33v,Herbal,Scribe 1,Voynich A,1,Middle,em
334,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qokaiin
335,f33v,Herbal,Scribe 1,Voynich A,1,End,qoaron
336,f33v,Herbal,Scribe 1,Voynich A,1,Start,fary
337,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qokeedy
338,f33v,Herbal,Scribe 1,Voynich A,1,Middle,chamon
339,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ol89
340,f33v,Herbal,Scribe 1,Voynich A,1,Middle,yiinr
341,f33v,Herbal,Scribe 1,Voynich A,1,Middle,shokon
342,f33v,Herbal,Scribe 1,Voynich A,1,Middle,oal
343,f33v,Herbal,Scribe 1,Voynich A,1,End,peed89
344,f33v,Herbal,Scribe 1,Voynich A,1,Start,piinn
345,f33v,Herbal,Scribe 1,Voynich A,1,Middle,yolm
346,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tardy
347,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoaron
348,f33v,Herbal,Scribe 1,Voynich A,1,Middle,koron
349,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qokal
350,f33v,Herbal,Scribe 1,Voynich A,1,Middle,eedn
351,f33v,Herbal,Scribe 1,Voynich A,1,End,qoldy
352,f33v,Herbal,Scribe 1,Voynich A,1,Start,sor89
353,f33v,Herbal,Scribe 1,Voynich A,1,Middle,eedn
354,f33v,Herbal,Scribe 1,Voynich A,1,Middle,oly
355,f33v,Herbal,Scribe 1,Voynich A,1,Middle,shokdy
356,f33v,Herbal,Scribe 1,Voynich A,1,Middle,shoron
357,f33v,Herbal,Scribe 1,Voynich A,1,Middle,iin
358,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tardy
359,f33v,Herbal,Scribe 1,Voynich A,1,End,qokain
360,f33v,Herbal,Scribe 1,Voynich A,1,Start,okr
361,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoaron
362,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ar89
363,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tam
364,f33v,Herbal,Scribe 1,Voynich A,1,Middle,yok
365,f33v,Herbal,Scribe 1,Voynich A,1,Middle,okr
366,f33v,Herbal,Scribe 1,Voynich A,1,Middle,shorin
367,f33v,Herbal,Scribe 1,Voynich A,1,End,ams
368,f33v,Herbal,Scribe 1,Voynich A,1,Start,yaiinr
369,f33v,Herbal,Scribe 1,Voynich A,1,Middle,dchor
370,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ye
371,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ar89
372,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tokn
373,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ookin
374,f33v,Herbal,Scribe 1,Voynich A,1,Middle,pot
375,f33v,Herbal,Scribe 1,Voynich A,1,End,ookin
376,f33v,Herbal,Scribe 1,Voynich A,1,Start,tok
377,f33v,Herbal,Scribe 1,Voynich A,1,Middle,carn
378,f33v,Herbal,Scribe 1,Voynich A,1,Middle,chors
379,f33v,Herbal,Scribe 1,Voynich A,1,Middle,eedm
380,f33v,Herbal,Scribe 1,Voynich A,1,Middle,alr
381,f33v,Herbal,Scribe 1,Voynich A,1,Middle,farm
382,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
383,f33v,Herbal,Scribe 1,Voynich A,1,End,shedy
384,f33v,Herbal,Scribe 1,Voynich A,1,Start,peedin
385,f33v,Herbal,Scribe 1,Voynich A,1,Middle,kokin
386,f33v,Herbal,Scribe 1,Voynich A,1,Middle,piinn
387,f33v,Herbal,Scribe 1,Voynich A,1,Middle,corn
388,f33v,Herbal,Scribe 1,Voynich A,1,Middle,char89
389,f33v,Herbal,Scribe 1,Voynich A,1,Middle,foln
390,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tokdy
391,f33v,Herbal,Scribe 1,Voynich A,1,End,cthy
392,f33v,Herbal,Scribe 1,Voynich A,1,Start,qoey
393,f33v,Herbal,Scribe 1,Voynich A,1,Middle,dol89
394,f33v,Herbal,Scribe 1,Voynich A,1,Middle,keedm
395,f33v,Herbal,Scribe 1,Voynich A,1,Middle,sokin
396,f33v,Herbal,Scribe 1,Voynich A,1,Middle,kaly
397,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ol89
398,f33v,Herbal,Scribe 1,Voynich A,1,Middle,kentun
399,f33v,Herbal,Scribe 1,Voynich A,1,End,qoaron
400,f33v,Herbal,Scribe 1,Voynich A,1,Start,qocar
401,f33v,Herbal,Scribe 1,Voynich A,1,Middle,em
402,f33v,Herbal,Scribe 1,Voynich A,1,Middle,pamn
403,f33v,Herbal,Scribe 1,Voynich A,1,Middle,oor
404,f33v,Herbal,Scribe 1,Voynich A,1,Middle,alin
405,f33v,Herbal,Scribe 1,Voynich A,1,Middle,tokon
406,f33v,Herbal,Scribe 1,Voynich A,1,Middle,al
407,f33v,Herbal,Scribe 1,Voynich A,1,End,sen
408,f33v,Herbal,Scribe 1,Voynich A,1,Start,oor
409,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ok
410,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ok89
411,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoamy
412,f33v,Herbal,Scribe 1,Voynich A,1,Middle,chor
413,f33v,Herbal,Scribe 1,Voynich A,1,Middle,ot89
414,f33v,Herbal,Scribe 1,Voynich A,1,Middle,qoorm
415,f33v,Herbal,Scribe 1,Voynich A,1,End,kar89
